"ITEM_NO","SEQ_NO","BARCOD_ID","DIM_1_UPR","DIM_2_UPR","DIM_3_UPR","BARCOD","UNIT","LST_MAINT_DT","LST_MAINT_USR_ID","LST_LCK_DT","ROW_TS"
" OLU047",2,"ITEM","RAY/RAY","9","*","276026","0","1/31/2018 11:01:49.000 AM","RI","","0x0000000011BD4219"
" OLU047",3,"ITEM","RAY/RAY","10","*","276027","0","1/31/2018 11:01:49.000 AM","RI","","0x0000000011BD421B"
" OLU047",4,"ITEM","RAY/RAY","11","*","276028","0","1/31/2018 11:01:49.000 AM","RI","","0x0000000011BD421D"
" OLU047",5,"ITEM","RAY/RAY","12","*","276029","0","1/31/2018 11:01:49.000 AM","RI","","0x0000000011BD421F"
" OLU047",6,"ITEM","RAY/RAY","13","*","276030","0","1/31/2018 11:01:49.000 AM","RI","","0x0000000011BD4221"
"0BER0068",2,"ITEM","SEA GLASS","2S","*","290285","0","1/18/2019 12:57:37.000 PM","AJ","","0x0000000012BC2234"
"0BER0068",3,"ITEM","SEA GLASS","2","*","290286","0","1/18/2019 12:57:37.000 PM","AJ","","0x0000000012BC2236"
"0BER0068",4,"ITEM","SEA GLASS","4","*","290287","0","1/18/2019 12:57:37.000 PM","AJ","","0x0000000012BC2238"
"0BER0068",5,"ITEM","SEA GLASS","6","*","290288","0","1/18/2019 12:57:37.000 PM","AJ","","0x0000000012BC223A"
"0BER0068",6,"ITEM","SEA GLASS","8","*","290289","0","1/18/2019 12:57:37.000 PM","AJ","","0x0000000012BC223C"
"0BER0068",7,"ITEM","SEA GLASS","10","*","290290","0","1/18/2019 12:57:37.000 PM","AJ","","0x0000000012BC223E"
"0BER0068",8,"ITEM","SEA GLASS","12","*","290291","0","1/18/2019 12:57:37.000 PM","AJ","","0x0000000012BC2240"
"0BER0068",10,"ITEM","SEA GLASS","4S","*","291419","0","1/18/2019 12:57:37.000 PM","AJ","","0x0000000012BC2242"
"2029465",1,"ITEM","BLACK","*","*","292616","!","2/5/2019 03:04:30.587 PM","RI","","0x0000000012C0E9C4"
"2029465",2,"ITEM","WHITE","*","*","292617","!","2/5/2019 03:04:30.610 PM","RI","","0x0000000012C0E9CA"
"2029465",3,"ITEM","BLUE","*","*","292618","!","2/5/2019 03:04:30.637 PM","RI","","0x0000000012C0E9D0"
"2029465",4,"ITEM","RED","*","*","292619","!","2/5/2019 03:04:30.657 PM","RI","","0x0000000012C0E9D6"
"2029465",5,"ITEM","PINK","*","*","292620","!","2/5/2019 03:04:30.677 PM","RI","","0x0000000012C0E9DC"
"686109",85,"ITEM","LG","*","*","68610904","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC2814A"
"686109",86,"ITEM","MED","*","*","68610903","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC2814B"
"686109",87,"ITEM","SM","*","*","68610902","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC2814C"
"686109",88,"ITEM","XL","*","*","68610905","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC2814D"
"686109",89,"ITEM","XS","*","*","68610901","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC2814E"
"686109",90,"ITEM","XXL","*","*","68610906","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC2814F"
"686109",91,"ITEM","XXX","*","*","68610907","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC28150"
"686110",93,"ITEM","LG","*","*","68611004","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC28152"
"686110",94,"ITEM","MED","*","*","68611003","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC28153"
"686110",95,"ITEM","SM","*","*","68611002","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC28154"
"686110",96,"ITEM","XL","*","*","68611005","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC28155"
"686110",97,"ITEM","XS","*","*","68611001","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC28156"
"686110",98,"ITEM","XXL","*","*","68611006","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC28157"
"686110",99,"ITEM","XXX","*","*","68611007","0","10/23/2009 03:12:44.000 PM","AM","","0x000000000AC28158"
"686111",101,"ITEM","LG","*","*","68611104","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2815A"
"686111",102,"ITEM","MED","*","*","68611103","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2815B"
"686111",103,"ITEM","SM","*","*","68611102","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2815C"
"686111",104,"ITEM","XL","*","*","68611105","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2815D"
"686111",105,"ITEM","XS","*","*","68611101","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2815E"
"686111",106,"ITEM","XXL","*","*","68611106","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2815F"
"686111",107,"ITEM","XXX","*","*","68611107","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC28160"
"686112",109,"ITEM","LG","*","*","68611204","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC28162"
"686112",110,"ITEM","MED","*","*","68611203","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC28163"
"686112",111,"ITEM","SM","*","*","68611202","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC28164"
"686112",112,"ITEM","XL","*","*","68611205","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC28165"
"686112",113,"ITEM","XS","*","*","68611201","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC28166"
"686112",114,"ITEM","XXL","*","*","68611206","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC28167"
"686112",115,"ITEM","XXX","*","*","68611207","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC28168"
"686113",117,"ITEM","LG","*","*","68611304","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2816A"
"686113",118,"ITEM","MED","*","*","68611303","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2816B"
"686113",119,"ITEM","SM","*","*","68611302","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2816C"
"686113",120,"ITEM","XL","*","*","68611305","0","10/23/2009 03:12:45.000 PM","AM","","0x000000000AC2816D"
"686113",121,"ITEM","XS","*","*","68611301","0","10/23/2009 03:12:46.000 PM","AM","","0x000000000AC2816E"
"686113",122,"ITEM","XXL","*","*","68611306","0","10/23/2009 03:12:46.000 PM","AM","","0x000000000AC2816F"
"686113",123,"ITEM","XXX","*","*","68611307","0","10/23/2009 03:12:46.000 PM","AM","","0x000000000AC28170"
"686114",125,"ITEM","LG","*","*","68611404","0","10/23/2009 03:12:46.000 PM","AM","","0x000000000AC28172"
"686114",126,"ITEM","MED","*","*","68611403","0","10/23/2009 03:12:46.000 PM","AM","","0x000000000AC28173"
"686114",127,"ITEM","SM","*","*","68611402","0","10/23/2009 03:12:46.000 PM","AM","","0x000000000AC28174"
