"ITEM_NO","LOC_ID","DIM_1_UPR","DIM_2_UPR","DIM_3_UPR","MIN_QTY","MAX_QTY","QTY_COMMIT","QTY_ON_HND","QTY_ON_PO","QTY_ON_BO","QTY_ON_XFER_OUT","QTY_ON_XFER_IN","QTY_ON_ORD","QTY_ON_LWY","QTY_ON_SO","LST_MAINT_DT","LST_MAINT_USR_ID","LST_LCK_DT","ROW_TS","NET_QTY","QTY_AVAIL","STK_STAT_PER_QTY_ON_HND","STK_STAT_PER_QTY_AVAIL","STK_STAT_PER_NET_QTY","REORD_PNT","EOQ","SFTY_STK","EOQ_CALC_ON","CELL_STAT","IS_ECOMM_ITEM_CELL","DROPSHIP_QTY_ON_CUST_ORD","DROPSHIP_QTY_ON_PO"
" OLU047","MAIN","RAY/RAY","10","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809E9",0,0,"O","O","O",,,,"","A","",0,0
" OLU047","MAIN","RAY/RAY","11","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809EA",0,0,"O","O","O",,,,"","A","",0,0
" OLU047","MAIN","RAY/RAY","12","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809EB",0,0,"O","O","O",,,,"","A","",0,0
" OLU047","MAIN","RAY/RAY","13","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809EC",0,0,"O","O","O",,,,"","A","",0,0
" OLU047","MAIN","RAY/RAY","9","*",0,0,0,0,0,0,0,0,0,0,0,"12/30/1899 04:30:05.000 PM","AJ","","0x00000000128809ED",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","10","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F87",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","12","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F88",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","2","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F83",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","2S","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:08:43.523 PM","AJ","","0x0000000012B7052F",0,0,"O","O","O",,,,"","A","",0,0
"0BER0068","MAIN","SEA GLASS","4","*",0,0,0,0,0,0,0,0,0,0,0,"12/28/2018 02:06:56.000 PM","AJ","","0x0000000012B66F84",0,0,"O","O","O",,,,"","A","",0,0
