"CP ITEM_NO","DIMENSIONS","QTY AVAIL"
"ALP292","YELLOW/*/*",2
"ALP303","RED/*/*",4
"ALP305","BLACK/140/*",3
"ALP305","BLACK/145/*",5
"ALP305","BLACK/150/*",2
"ALP305","BLUE/130/*",4
"ALP305","BLUE/135/*",1
"ALP306","RED/150/*",2
"AXIS002","BLK/SILV/36/*",3
"AXIS002","BLK/SILV/38/*",4
"AXIS002","BLK/SILV/40/*",5
"AXIS002","BLK/SILV/42/*",4
"AXIS003","SILV/BLK/52/*",1
"AXIS003","SILV/BLK/54/*",1
"AXIS005","BLUE/ORANGE/*/*",2
"AXIS006","WHT/SILV/RED/44INCH/110CM/*",3
"AXIS006","WHT/SILV/RED/46INCH/115CM/*",8
"AXIS006","WHT/SILV/RED/48INCH/120CM/*",10
"AXIS006","WHT/SILV/RED/50INCH/125CM/*",12
"AXIS006","WHT/SILV/RED/52INCH/125CM/*",6
"AXIS006","WHT/SILV/RED/54INCH/135CM/*",2
"AXIS007","BLK/SILV/34INCH/85CM/*",2
"AXIS007","BLK/SILV/36INCH/90CM/*",8
"AXIS007","BLK/SILV/38INCH/95CM/*",8
"AXIS007","BLK/SILV/40INCH/100CM/*",16
"AXIS007","BLK/SILV/42INCH/105CM/*",16
"AXIS008","BLK/GRN/BLU/44IN/110CM/*",2
"AXIS008","BLK/GRN/BLU/46IN/115CM/*",4
"AXIS008","BLK/GRN/BLU/48IN/120CM/*",5
"AXIS008","BLK/GRN/BLU/50IN/125CM/*",3
"AXIS008","BLK/GRN/BLU/52IN/125CM/*",2
"AXIS009","BLK/SLV/TURQ/44IN/110CM/*",6
"AXIS009","BLK/SLV/TURQ/46IN/115CM/*",6
"AXIS009","BLK/SLV/TURQ/48IN/120CM/*",6
"AXIS009","BLK/SLV/TURQ/50IN/125CM/*",2
"CRAB004","WHITE/*/*",1
"CRAFT0001","BLK/MULTI/XL/*",1
"CRAFT0002","BLACK/M/*",1
"CRAFT0002","BLACK/S/*",1
"CRAFT0002","BLACK/XS/*",1
"CRAFT0003","BLACK/WHT/L/*",1
"CRAFT0003","BLACK/WHT/S/*",1
"CRAFT0003","BLACK/WHT/XS/*",1
"CRAFT0004","BLACK/L/*",1
"CRAFT0004","BLACK/M/*",1
"CRAFT0005","BLACK/M/*",1
"CRAFT0005","BLACK/S/*",1
"CRAFT0006","SNAP/BLK/L/*",1
"CRAFT0006","SNAP/BLK/XL/*",1
"CRAFT0007","BRT RED/L/*",1
"CRAFT0007","BRT RED/M/*",1
"CRAFT0007","BRT RED/XXL/*",1
"CRAFT0008","FLUMINO/BLK/M/*",1
"CRAFT0008","FLUMINO/BLK/XL/*",1
"CRAFT0009","BLACK/M/*",1
"CRAFT0009","BLACK/S/*",1
"CRAFT0009","BLACK/XL/*",2
"CRAFT0009","BLACK/XXL/*",1
"CRAFT0010","BLACK/M/*",1
"CRAFT0010","BLACK/XL/*",1
"CRAFT0010","BLK/BRT RED/L/*",1
"CRAFT0010","BLK/BRT RED/S/*",1
"CRAFT0011","BLACK/L/*",1
"CRAFT0011","BLACK/M/*",2
"CRAFT0011","BLACK/XL/*",1
"CRAFT0012","GREY MELANGE/L/*",1
"CRAFT0012","GREY MELANGE/M/*",1
"CRAFT0012","GREY MELANGE/S/*",2
"CRAFT0013","FLUMINO/BLK/L/*",1
"CRAFT0013","FLUMINO/BLK/M/*",1
"CRAFT0014","BLACK/L/*",1
"CRAFT0014","BLACK/XL/*",1
"CRAFT0015","PANIC/S/*",1
"CRAFT0015","PANIC/XS/*",1
"DAK1141","TABOR/M/*",1
"DAK1141","TABOR/XL/*",2
"DAK1142","BLACK/XL/*",3
"DAK1142","BLACK/XXL/*",2
"DAK1143","BLACK/L/*",1
"DAK1143","BLACK/S/*",2
"DAK1147","ELLIE II/L/*",1
"DAK1148","BLACK/L/*",1
"DAK1149","BLACK/K-L/*",3
"DAK1149","BLACK/K-XL/*",3
"DAK1149","NEVADA/K-M/*",2
"DAK1152","CARBON/M/*",1
"DAK1152","CARBON/XL/*",1
"DAK1154","BLACK/XL/*",2
"DAK1154","BLACK/XXL/*",1
"DAK1156","CARBON/S/*",1
"DAK1156","CARBON/XL/*",3
"DAK1156","TABOR/L/*",6
"DAK1156","TABOR/M/*",1
"DAK1156","TABOR/XL/*",4
"DAK1157","BLACK/L/*",3
"DAK1157","BLACK/M/*",1
"DAK1157","BLACK/S/*",1
"DAK1157","BLACK/XL/*",2
"DEMOSKI2019-01","172/*/*",1
"DEMOSKI2019-01","177/*/*",1
"DEMOSKI2019-02","170/*/*",1
"DEMOSKI2019-02","177/*/*",1
"DEMOSKI2019-03","176/*/*",1
"DEMOSKI2019-04","173/*/*",1
"DEMOSKI2019-04","178/*/*",1
"DEMOSKI2019-06","172/*/*",1
"DEMOSKI2019-08","159/*/*",1
"DEMOSKI2019-09","173/*/*",1
"DEMOSKI2019-11","167/*/*",1
"DEMOSKI2019-13","149/*/*",1
"DEMOSKI2019-14","158/*/*",1
"DEMOSKI2019-15","177/*/*",1
"DEMOSKI2019-16","173/*/*",1
"DEMOSKI2019-17","177/*/*",1
"DEMOSKI2019-18","172/*/*",1
"DEMOSKI2019-19","150/*/*",1
"DEMOSKI2019-20","180/*/*",1
"DEMOSKI2019-21","171/*/*",1
"DEMOSKI2019-22","170/*/*",1
"DEMOSKI2019-22","177/*/*",1
"DEMOSKI2019-23","170/*/*",1
"DEMOSKI2019-24","163/*/*",1
"DEMOSKI2019-24","170/*/*",1
"DEMOSKI2019-25","153/*/*",1
"DEMOSKI2019-26","148/*/*",1
"DEMOSKI2019-27","153/*/*",1
"FUR156","BLACK/*/*",43
"FUR156","BLAZE/*/*",1
"FUR156","CARBON/*/*",1
"FUR156","RED/*/*",1
"FUR158","BLACK/*/*",8
"FUR158","BLAZE/*/*",1
"FUR158","CARBON/*/*",4
